İlan No:,İlan Tarihi:,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,car_link:,price,boya_degisen,aciklama
 16088717   , 04 Şubat 2021   , Volkswagen   , Passat   , 1.9 TDi Comfortline   , 2003   , Dizel   , Düz   , 1896 cc   , 130 hp   , 440.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-volkswagen-passat-1-9-tdi-comfortline/sahibinden-volkswagen-passat-1-9-tdi-comfortline-2003-model-kayseri/16088717,  90.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Boyanmış  Arka Kaput:  Boyanmış  Sol Arka Çamurluk:  Boyanmış  Sağ Arka Kapı:  Boyanmış  Sağ Ön Kapı:  Boyanmış  Tavan:  Orijinal  Sol Arka Kapı:  Boyanmış  Sol Ön Kapı:  Boyanmış  Sağ Ön Çamurluk:  Boyanmış  Motor Kaputu:  Boyanmış  Sol Ön Çamurluk:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,Takas olur
 16137365   , 04 Şubat 2021   , Ford   , Fiesta   , 1.4 Titanium   , 2012   , Benzin   , Düz   , 1388 cc   , 96 hp   , 47.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-fiesta-1-4-titanium/2012-model-cok-temiz-ford-fiesta-1-4-titanium-kazasiz-degisensiz-250-tl-tramer-mevcut/16137365,  135.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Lokal Boyanmış  Sol Arka Çamurluk:  Lokal Boyanmış  Motor Kaputu:  Lokal Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  250 TL  ,2012 fiesta 1.4 titanyum kazasız değişensiz 250 TL tramer mevcut anahtar değişiminden dolayı 2 buçuk parça boyalı benzinli Manuel  3 sahibiyim aracın araç pişman olmayacağını yakıt cimrisi bş araç alana hayırlı olsun şimdiden 
 16646761   , 04 Şubat 2021   , Kia   , Picanto   , 1.0 MPI   , 2020   , Benzin   , Otomatik   , 998 cc   , 67 hp   , 18.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-kia-picanto-1-0-mpi/sahibinden-kia-picanto-1-0-mpi-2020-model/16646761,  137.900 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"2020 Kia Picanto Live otomatik sıfır ayarında hatasız 18000 kmdemayıs 2020 trafiğe çıkış tarihiotomobilin ikinci sahibiyim, ekspertiz yaptırıp aldım ekspertizi mevcuttur, istenirse yeni ekspertiz yaptırılabilir.geçen eylül ayında bakım yapılmış garantisinin devam etmesi açısından önümüzdeki mayısta bakım yaptırılabilir.yeni otomobil aldığım için satıyorum.herhangi sorunu, kazası, hasarı, hasar kaydı, boyası veya değişeni yoktur.fiyatın makul olma nedeni evdeki beşinci otomobil olması ve araç fazlalığındandır.şehir içi ve şehir dışı yakıt tüketimi çok idealdir.multimedya, apple carplay, android auto ve birçok özellik ve donanım fazlasıyla mevcuttur.hayırlı olmasını diliyorum.mesaj ve telefonla iletişime geçebilirsiniz."
 16588843   , 03 Şubat 2021   , Renault   , Clio   , 0.9 TCe Joy   , 2020   , Benzin   , Düz   , 1200 cm3' e kadar   , 101 - 125 HP   , 17.500 km   ,https://www.arabam.com//ilan/sahibinden-satilik-renault-clio-0-9-tce-joy/sahibinden-renault-clio-0-9-tce-joy-2020-model/16588843,  129.999 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  0 TL  ,"Askeri Personelden Temiz Kullanılmış Hatasız Boyasız Tramersiz 5 Yıl Bayi Garantili 
 
2020 Model 0.9 Tce Joy Paket 
 
Hız sabitleyici
Yokuş kalkış desteği 
Android Ekran Tablet
Geri görüş Kamerası
Park sensörü
Mayar sinyaller Bağaj -Far
İç aydınlatma ledleri
 
Tarafımca bayiden taktırılan onca ekstralar..
Aracım yeni nesil turbo motor 1.6 arabadan farksızdır. Km başı uzun yol 27 kr şehir içi 34 kr yakmaktadır.
 
 "
 16565659   , 02 Şubat 2021   , Toyota   , Corolla   , 1.4 D-4D Comfort Extra   , 2012   , Dizel   , Düz   , 1364 cc   , 90 hp   , 226.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-toyota-corolla-1-4-d-4d-comfort-extra/sahibinden-toyota-corolla-1-4-d-4d-comfort-extra-2012-model/16565659,  122.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Arka Tampon:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  340 TL  ,"ilk sahibiyim, Aracın Periyodik Bakımları zamanında yapılmıştır,
Dijital klima, Sis farı,Araçta sigara içilmemiştir, Koltuklarda, Yer ve Tavan döşemesinde herhangi bir problem yok,
07/2020 akü ve 08/2020 lastikleri yenilenmiştir,
araç muayenesi 02/08/2021 tarihine kadar geçerlidir, 
değişen yok,
ön kaput ve sol arka kapı üzerinde dikkatle bakıldığında fark edilebilen lokal anahtar çiziği bulunmakta,(özellikle boyatılmamıştır)
 arka tampon boyanmasına bağlı 340 tl tramer kayıtlıdır, 
 "
 16530322   , 31 Ocak 2021   , Ford   , Focus   , 1.6 TDCi Titanium   , 2012   , Dizel   , Düz   , 1560 cc   , 115 hp   , 177.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-ford-focus-1-6-tdci-titanium/sahibinden-ford-focus-1-6-tdci-titanium-2012-model/16530322,  143.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,Konuşan paket orijinal km boya değişen hasar kaydı yok lastikler iyi masrafsız not citti alıcılar arasın 
 16514917   , 29 Ocak 2021   , Renault   , Clio   , 1.2 Authentique   , 2007   , Benzin   , Düz   , 1149 cc   , 75 hp   , 53.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-renault-clio-1-2-authentique/son-5-gun-galeriye-80-000-e-gidiyor-sahibinden-renault-clio-1-2-authentique-2007-model-istanbul/16514917,  82.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Sitenin en temizi ve kusursuz aracı. Lütfen aldıktan sonra her ay servise uğrayacağınız araclarlarla kıyaslamayın. Tremer kaydı koktur kaza ve herhangi nokta boya güneş yanığı ve çalışmayan aksamı yoktur. Triger seti ve baski balata 25.000 km de degişti 4 lastik fren balata ve diskler yeni değişti tüm sıvı bakımlari yeni yapıldı. Hepsinin km ve tarihleri faturalariyla servisin adresini de vererek ibraz edebilirim. Tüm kitapcıkları ve yedek anahtarı mevcuttur. Araç garajda muhafaza edildi izmir istanbul arasinda kullanildi. Aracıma her türlü kefilim istediğiniz servis ekper e gösterbilirsiniz. Döşemelerde herhangi deforme yanık yırtık bulamassınız. sorunsuz gönül rahatlığiyla binebileceğiniz bir araçtir. Aile büyuyunce bize yetmez oldu daha büyük bir araç aldık. Bu yüzden satilmasinda acelem yok . çocuk koltuğü için servisde izofiks dahi taktirdim digerlerinde bu özelliği bulamazsıniz. Ayrica yakıt cimrisi bir araçtır bu yüzden lpg taktırmaya gerek bile duymadım.Her kez boya takıntısı olan aramasın der ben idda ediyorum özellikle boya takintısı olanlar arasin. Sağ alt marşpiyerde mantara sürtmeden dayı cok küçük bir ezik mevcut fotografıni resimlere ekledim. Orjinalliğini bozmamamk için düzelttirmedim. 07.2022 muayene geçerlilik tarihidir.TEKNİK ÖZELLİKLERYol bilgisayarıinmobilizer2 hava yastığıabs frenradyo cd çalar ( düğmelerde soyulma yoktur )hidrolik dreksiyonyükseklik ayarli dreksiyonön far ayari ve silecek sensörüHer şeyi acik açik yazdim bu yüzden gereksiz teklifler yapmayalim. kesin alıcılarla araba başında cüzi bir ikram olabilir.Şimdiden hayırlı olsun
 16485404   , 25 Ocak 2021   , Opel   , Corsa   , 1.4 Enjoy   , 2008   , LPG & Benzin   , Otomatik   , 1364 cc   , 90 hp   , 152.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-opel-corsa-1-4-enjoy/tam-otomatik/16485404,  99.750 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,"Aracım orijinal kilometredir. Corsanın tutulan Tam otomatik 1.4 benzin/ LPG li dolu paketlerinden enjoy pakettir . Dört aibag , çelik jant, sis farı , park sensörü gibi bir çok özellik VARDIR. Motorunda şanzıman da hiç bir sorun yoktur. Geri kaçırma yapmaz. İçerisinde koltuklarda leke yırtık sökük yanık kesinlikle YOKTUR. Yağ bakımı filitreler yeni değişti. Akü yenidir . Kışlık bakımı yapılmıştır . Şuanda yapılacak hiç bir masrafı YOKTUR . Güneş yanığı YOKTUR. Aracı görmeden kimse karar vermesin . Araçta üç parça değişen üç parçada boya vardır . Kesinlikle tavanında direklerinde şasesinde podyesinde darbe işlem YOKTUR. 2500 TL hasar kaydı VARDIR. Ağır hasar kaydı pert kaydı YOKTUR. TAKAS YOKTUR. Hayırlısı ne ise o olsun."
 16469699   , 22 Ocak 2021   , Skoda   , Octavia   , 1.6 TDI Ambition   , 2012   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 100.500 km   ,https://www.arabam.com//ilan/sahibinden-satilik-skoda-octavia-1-6-tdi-ambition/sahibinden-skoda-octavia-1-6-tdi-ambition-2012-model/16469699,  149.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Lokal Boyanmış  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Lokal Boyanmış  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,SAHİBİNDEN SATILIK OCTAVİA. ARACIM 2012 MODEL DİZEL BE OTOMATİK. TASARRUFLU VE GENİŞ BAGAJ HACMİYLE HER TÜRLÜ EŞYANIZI TAŞIYABİLECEK BOYUTLARDA KONFORLU BİR ARAÇTIR. İLK SAHİBİYİM ŞİMDİYE KADAR HİÇ BİR SORUN İLE KARŞILAŞMADIM. ALICISINA HAYIRLI OLSUN ŞİMDİDEN. SATMA SEBEBİM İKİ ARAÇ VAR ÖNCE HANGİSİ SATILIRSA DİĞER ARACIN SATIŞINDAN VAZGEÇECEĞİM. DİĞER ARACIM MEGAN SADEN TOUCH DİZEL OYOMATİK 2020 MODEL SIFIR KM. 
 16465506   , 22 Ocak 2021   , Mercedes - Benz   , C   , C 180 AMG 7G-Tronic   , 2012   , Benzin   , Otomatik   , 1796 cc   , 156 hp   , 106.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-mercedes-benz-c-180-amg-7g-tronic/sahibinden-mercedes-benz-c-180-amg-7g-tronic-2012-model/16465506,  285.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,"İlk sahibinden ACİL SATILIK cam tavanlı Mercedes AMG 7G. 
Boya, değişen, hasar kaydı yoktur.
Temiz aile arabası olup, içinde sigara içilmemiştir. 
Düşük kilometrelidir, masrafsızdır.
Alıcısına hayırlı olsun."
 16444386   , 18 Ocak 2021   , Hyundai   , i30   , 1.6 CRDi CW Team   , 2011   , Dizel   , Otomatik   , 1582 cc   , 115 hp   , 127.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-hyundai-i30-1-6-crdi-cw-team/sahibinden-hyundai-i30-1-6-crdi-cw-team-2011-model/16444386,  125.000 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,İlk sahibinden bayandan kazasız araç muaynesi egzoz gazı muaynesi yeni yapılmış çok temiz araç
 16415007   , 14 Ocak 2021   , Honda   , Civic   , 1.6 i-VTEC Dream   , 2008   , LPG & Benzin   , Düz   , 1595 cc   , 125 hp   , 165.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-honda-civic-1-6-i-vtec-dream/sahibinden-honda-civic-1-6-i-vtec-dream-2008-model/16415007,  105.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Boyanmış  Arka Kaput:  Boyanmış  Sol Arka Çamurluk:  Boyanmış  Sağ Arka Kapı:  Boyanmış  Sağ Ön Kapı:  Boyanmış  Sol Arka Kapı:  Boyanmış  Sol Ön Kapı:  Boyanmış  Sağ Ön Çamurluk:  Boyanmış  Motor Kaputu:  Boyanmış  Sol Ön Çamurluk:  Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  17.000 TL  ,"2008 Honda Civic 2019 yılında 132 bin km de aldım ve LPG taktırdım hala garantisi devam etmektedir.Tavan hariç boyalı olduğu için aldıktan sonra ben de çiziklerden dolayı 5 parçasını boyattım şuan ön tamponda taş izleri hariç çizik yoktur.Geri görüş kamerası ve double teyp bu sene takıldıAkünün garantisi devam ediyor.kısalar photon marka zenon, yağ bakımları yeni yapıldı ve bakım sırasında balatalar değişti."
 16201368   , 04 Şubat 2021   , Opel   , Corsa   , 1.2 Swing   , 2000   , Benzin   , Otomatik   , 1199 cc   , 65 hp   , 193.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-opel-corsa-1-2-swing/hasar-kayitsiz-corsa/16201368,  56.750 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"hasar kayıtsız temiz corsa 
"
 16135514   , 04 Şubat 2021   , Peugeot   , 206+   , 1.4 HDi Urban Move   , 2012   , Dizel   , Düz   , 1398 cc   , 71 hp   , 101.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-peugeot-206-1-4-hdi-urban-move/sahibinden-peugeot-206-1-4-hdi-urban-move-2012-model/16135514,  87.500 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Boyasiz hatasiz triger turbo bakimi dahil herseyi yeni yapilmistir. 4 lastik sifir ayrica aracta ben aldigimda mevcut olan ses sistemi bulunmaktadir.
 14899757   , 04 Şubat 2021   , Mercedes - Benz   , E   , 200 CGI BlueEFFICIENCY Avantgarde   , 2011   , Benzin   , Otomatik   , -   , -   , 129.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-mercedes-benz-e-200-cgi-blueefficiency-avantgarde/hatasiz-ilk-sahibinden-mercedes-benz-e-200-cgi-blueefficiency-avantgarde-2011-model-samsun/14899757,  415.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş ,"Yetkili satıcı ve Tüm bakımları yetkili serviste yapılmıştır.
Gerçek sahibinden. Araç kullanıldığı için km değişiklik gösterebilir.
Ön cam çatlama sonucu yetkili serviste değişmiştir.
 "
 15319362   , 04 Şubat 2021   , Volkswagen   , Jetta   , 1.6 GL   , 1984   , Dizel   , Düz   ,,, 354.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-volkswagen-jetta-1-6-gl/sahibinden-volkswagen-jetta-1-3gl-1981-model/15319362,  15.500 TL  , Satıcı bu ilan için boya - değişen  - tramer bilgisi vermemiştir.Detaylı bilgi almak için satıcı ile iletişime geçebilirsiniz. ,Aracım 1.3dizeldir.ozel üretim bir aractir.cok az yakar motoru yeni yapılmıştır.lastikler sağlamdır.deposunu doldur dünya turuna cik.isiklarda en önce kaçar.bu zamana kadar 1 defa yolda kalmıştır o da depoya en son ne zaman yakıt koyduğumuzu unuttuğumuz dan kalmıştır.alana hayırlı olsun
 16123756   , 04 Şubat 2021   , Volkswagen   , Jetta   , 1.4 TSi Comfortline   , 2015   , LPG & Benzin   , Düz   , 1390 cc   , 122 hp   , 133.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-volkswagen-jetta-1-4-tsi-comfortline/sahibinden-volkswagen-jetta-1-4-tsi-comfortline-2015-model/16123756,  174.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Orijinal  Sol Ön Kapı:  Orijinal  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Orijinal  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Tramer tutarı yok   ,Acillll satılıkAracımızda Kaza Boya Yokdur 10.000 TL değerindePrins marka Lpg Vardır bu araçlara başka marka takamazsınız Şehir İçi 35 Kr Uzun Yol 25 kr Yakmakdadır Gazdada Performans AracıdırKoltuklara göre özel yapılmış  Deri Kılıfdır Orjinal Rengi Bej dir  1500 TL değerinde Araç İçi Sensörlü Alarm Sistemi Takılıdır Aracın Kitapcığı Yedek Anahtarı Orjınal İstetmesi mevcuttur
 15234250   , 04 Şubat 2021   , Peugeot   , 301   , 1.6 HDi Allure   , 2016   , Dizel   , Düz   ,,, 88.500 km   ,https://www.arabam.com//ilan/sahibinden-satilik-peugeot-301-1-6-hdi-allure/sahibinden-peugeot-301-1-6-hdi-allure-2016-model-istanbul/15234250,  118.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Arka Kaput:  Değişmiş  Motor Kaputu:  Lokal Boyanmış  Sol Ön Çamurluk:  Lokal Boyanmış  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  1.250 TL  ,"2016 model temiz bir aile aracı.Tramer kaydı 1250 TL.Park halindeyken ön tampon , kaput ucu ve sol yan çamurluk  kasmadan dolayı düzeltme ile lokal boya yapıldı.Resimleri var. Benden önceki sahibinde bagaj kapağı değişmiş ancak tramer kaydı yok.Yürüyeninde ve motorunda sorun yok. Amortisörler (ön ve arka ) takozlar, salincaklar, körükler, fren diskleri, motor yağı, filitreler, ve lastikler değişti. Zamanında bakımı yapılmaktadır. Borçlar sebebiyle satılıktır.Arabadan memnunum ancak maalesef mecburen satıyorum.Pazarlık payı vardır ancak makul.Alıcısına hayırlı olsun."
 16134215   , 04 Şubat 2021   , Volkswagen   , Polo   , 1.4 Comfortline   , 2013   , Benzin   , Düz   , 1390 cc   , 85 hp   , 57.000 km   ,https://www.arabam.com//ilan/sahibinden-satilik-volkswagen-polo-1-4-comfortline/sahibinden-volkswagen-polo-1-4-comfortline-2013-model/16134215,  124.000 TL  ,   Created by Arabam IT  Ön Tampon     Sağ Arka ÇamurlukMotor KaputuArka KaputTavanArka Tampon  Sağ Arka Çamurluk:  Orijinal  Arka Kaput:  Orijinal  Sol Arka Çamurluk:  Orijinal  Sağ Arka Kapı:  Orijinal  Sağ Ön Kapı:  Orijinal  Tavan:  Orijinal  Sol Arka Kapı:  Lokal Boyanmış  Sol Ön Kapı:  Lokal Boyanmış  Sağ Ön Çamurluk:  Orijinal  Motor Kaputu:  Orijinal  Sol Ön Çamurluk:  Lokal Boyanmış  Ön Tampon:  Orijinal  Arka Tampon:  Orijinal  BelirtilmemişOrijinalBoyalıLokal BoyalıDeğişmiş   Toplam Tramer Tutarı:  3.000 TL  ,"Aracım kapalı garaj arabasıdır.oldukça temiz ve titiz kullanılmış bir araçtır. Sol yanda ufak tefek çizik boyaları mevcut.Tüm bakımları zamanında ve eksiksiz yapılmıştır. Km den de anlaşılacağı üzere ço. Tüm gizli özellikleri açıktır.Lastikler kışlık  sıfır alınmıştır. 1 aylıktır.Otomatik kapı kilitlemeAnahtardan 4 cam açma kapama.Anahtardan alarm aktif etme.Park sensörüEk yakıt durum bilgisiLed farlar şimşek etkiliHareket halinde otomatik kapı kilitleme.Ve bir çok özellik aktiftir. Alacak kişiyi üzmeyecek bir araçtır. Şehir içi ortalama 5 , 5.5 litre yakıt tüketimi vardır. İhtiyaç fazlalığından satılıktır. İstediğiniz araya expertiz götürebilirsiniz. Pazarlık araç başında makul oranda vardır. Alıcısına şimdiden hayırlı olsun."
